SKey,Sname
1,StARTinitiative
2,BuildingIQ
3,ZenPayroll
4,FRWD Technologies
5,KoldCast Entertainment Media
6,Tornado Medical Systems
7,Proteon Therapeutics
8,Air Robotics
9,Elevate
10,Multispectral Imaging
11,Scratch Wireless
12,Sterling Heights Dentist
13,Szl
14,Centrifuge Systems
15,Bitzio -  Inc.
16,VIRTRA SYSTEMS
17,Conference Hound
18,DOOMORO
19,Gearbox Software
20,Beagle Bioproducts
21,CloudCar
22,Mind Technologies
23,Blooie
24,Shopogoliq
25,Nearway
26,ItsGoinOn
27,Arava Power Company
28,AGM Automotive
29,Sumoing
30,Affectv
31,CEGA Innovations
32,ZAPS Technologies
33,NanoVelos
34,Spotistic
35,Welcome Funds
36,CNEX LABS
37,Spring
38,Camstar Systems
39,Assignment Editor
40,eFolder
41,frestyl
42,CENTRI Technology
43,APTwater
44,GroupCharger
45,The Motley Fool
46,GlobalLogic
47,Crowd Sense
48,iSyndica
49,Shakr Media
50,Entelos
51,Jogg
52,Tauntr
53,Ad Hoc Labs
54,Picwing
55,Healint
56,The Knowland Group
57,Dep-Xplora
58,Shenzhouying Software Technology
59,Advanced Personalized Diagnostics
60,Asurvest
61,Qingdao Land of State Power Environment Engineering
62,Sunovia
63,Strategic Funding Source
64,Motionsoft
65,Trak
66,New Wind
67,Socii
68,Takepin
69,Loot!
70,Check
71,Stage I Diagnostics
72,Flux Power
73,Peckforton Pharmaceuticals
74,Motivity Labs
75,Philz Coffee
76,Scrip-t
77,IKO System
78,Happlink
79,PowerDMS
80,Avvasi Inc.
81,Rx Networks
82,Feedtrace
83,Agile Wind Power
84,DiningCircle
85,Edinburgh Molecular Imaging
86,Exeter Property Group
87,Animoto
88,WireImage
89,olook
90,BioCeramic Therapeutics
91,Sure Secure Solutions
92,uberall
93,GOVECS
94,GeneWeave Biosciences
95,The New Craftsmen
96,Memopal
97,Plum.io
98,Eventure Interactive
99,Plympton
100,Storybird
